id,type,question,options,answer,audio_url,image_url,passage,difficulty,tags
Q001,red,下列哪个是水果？,苹果||桌子||铅笔||椅子,苹果,,,,1,"词汇,基础"
Q002,green,根据短文选择答案：小明想去哪里？,书店||饭店||银行,书店,,,小明想买一本词典，于是问路人：请问书店怎么走？,2,"阅读,方向"
Q003,yellow,图片所示的交通工具是什么？,飞机||火车||轮船,飞机,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Airplane_silhouette.png,,3,"图片,识别"
Q004,blue,请用“因为……所以……”写一句话（主题：学习中文）。,,示例：因为我喜欢中国文化，所以我决定学习中文。,,,,4,"写作,句型"
Q005,red,听录音并判断：说话人周末要去旅行。,对||错,对,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,,,5,"听力,判断题"
Q006,green,根据短文判断：小王本周三去了图书馆。,对||错,错,,,小王每周三会去图书馆，但这周三有课，他改在周四去了。,6,"阅读,判断题"
Q007,yellow,选择正确的量词：一___书。,本||只||个||张,本,,,,7,"语法,量词"
Q008,blue,把句子翻译成英文：他每天早上六点起床。,,He gets up at six every morning.,,,,8,"翻译,句型"
Q009,red,解释成语“一见钟情”的意思（简答）。,,第一次见面就喜欢上了。,,,,9,"成语,理解"
Q010,green,写一句不少于15字的话：主题“坚持与成长”。,,示例：坚持每天学习一点点，所以我逐渐发现自己在进步。,,,,10,"写作,表达"
